Year,Number_1_Release,Weekend_Number
2002,The Lord of the Rings: The Two Towers,52
2002,The Lord of the Rings: The Two Towers,51
2002,Die Another Day,50
2002,Die Another Day,49
2002,Die Another Day,48
2002,Die Another Day,47
2002,Harry Potter and the Chamber of Secrets,46
2002,28 Days Later,45
2002,28 Days Later,44
2002,xXx,43
2002,xXx,42
2002,Red Dragon,41
2002,Lilo & Stitch,40
2002,Signs,39
2002,Signs,38
2002,Signs,37
2002,The Bourne Identity,36
2002,Insomnia,35
2002,The Guru,34
2002,Men in Black II,33
2002,Scooby-Doo,32
2002,Men in Black II,31
2002,Austin Powers in Goldmember,30
2002,Scooby-Doo,29
2002,Scooby-Doo,28
2002,Minority Report,27
2002,Spider-Man,26
2002,Spider-Man,25
2002,Spider-Man,24
2002,Star Wars: Episode II - Attack of the Clones,23
2002,Star Wars: Episode II - Attack of the Clones,22
2002,Star Wars: Episode II - Attack of the Clones,21
2002,Star Wars: Episode II - Attack of the Clones,20
2002,About a Boy,19
2002,About a Boy,18
2002,About a Boy,17
2002,Bend It Like Beckham,16
2002,Bend It Like Beckham,15
2002,Blade II,14
2002,Blade II,13
2002,Ali G Indahouse,12
2002,Ocean's Eleven,11
2002,Ocean's Eleven,10
2002,"Monsters, Inc.",8
2002,"Monsters, Inc.",7
2002,"Monsters, Inc.",6
2002,Vanilla Sky,5
2002,Vanilla Sky,4
2002,The Lord of the Rings: The Fellowship of the Ring,3
2002,The Lord of the Rings: The Fellowship of the Ring,2
2002,The Lord of the Rings: The Fellowship of the Ring,1
2003,The Lord of the Rings: The Return of the King,52
2003,The Lord of the Rings: The Return of the King,51
2003,Love Actually,50
2003,Love Actually,49
2003,Love Actually,48
2003,Love Actually,47
2003,The Matrix Revolutions,46
2003,The Matrix Revolutions,45
2003,Finding Nemo,44
2003,Finding Nemo,43
2003,Finding Nemo,42
2003,Finding Nemo,41
2003,Bad Boys II,40
2003,Calendar Girls,39
2003,The Italian Job,38
2003,Calendar Girls,37
2003,Pirates of the Caribbean: The Curse of the Black Pearl,36
2003,Pirates of the Caribbean: The Curse of the Black Pearl,35
2003,American Wedding,34
2003,American Wedding,33
2003,Pirates of the Caribbean: The Curse of the Black Pearl,32
2003,Terminator 3: Rise of the Machines,31
2003,Hulk,30
2003,Hulk,29
2003,Charlie's Angels: Full Throttle,28
2003,Charlie's Angels: Full Throttle,27
2003,Bruce Almighty,26
2003,2 Fast 2 Furious,25
2003,The Matrix Reloaded,24
2003,The Matrix Reloaded,23
2003,The Matrix Reloaded,22
2003,The Matrix Reloaded,21
2003,X2,20
2003,X2,19
2003,X2,18
2003,Johnny English,17
2003,Johnny English,16
2003,Johnny English,15
2003,The Recruit,14
2003,The Recruit,13
2003,Just Married,12
2003,Maid in Manhattan,11
2003,Maid in Manhattan,10
2003,The Ring,9
2003,The Ring,8
2003,Two Weeks Notice,7
2003,Two Weeks Notice,6
2003,Catch Me If You Can,5
2003,8 Mile,4
2003,8 Mile,3
2003,The Lord of the Rings: The Two Towers,2
2003,The Lord of the Rings: The Two Towers,1
2004,The Incredibles,53
2004,The Polar Express,52
2004,A Series of Unfortunate Events,51
2004,The Incredibles,50
2004,The Incredibles,49
2004,The Incredibles,48
2004,Bridget Jones: The Edge of Reason,47
2004,Bridget Jones: The Edge of Reason,46
2004,The Grudge,45
2004,Shark Tale,44
2004,Shark Tale,43
2004,Shark Tale,42
2004,Bride & Prejudice,41
2004,Wimbledon,40
2004,Wimbledon,39
2004,Collateral,38
2004,Open Water,37
2004,The Terminal,36
2004,Dodgeball: A True Underdog Story,35
2004,The Village,34
2004,The Bourne Supremacy,33
2004,"I, Robot",32
2004,Spider-Man 2,31
2004,Spider-Man 2,30
2004,Spider-Man 2,29
2004,Shrek 2,28
2004,Shrek 2,27
2004,Harry Potter and the Prisoner of Azkaban,26
2004,Harry Potter and the Prisoner of Azkaban,25
2004,Harry Potter and the Prisoner of Azkaban,24
2004,Harry Potter and the Prisoner of Azkaban,23
2004,The Day After Tomorrow,22
2004,Troy,21
2004,Van Helsing,20
2004,Van Helsing,19
2004,Kill Bill: Vol. 2,18
2004,Kill Bill: Vol. 2,17
2004,Scooby-Doo 2: Monsters Unleashed,16
2004,Scooby-Doo 2: Monsters Unleashed,15
2004,Scooby-Doo 2: Monsters Unleashed,14
2004,Dawn of the Dead,13
2004,Starsky & Hutch,12
2004,Mona Lisa Smile,11
2004,Along Came Polly,10
2004,Along Came Polly,9
2004,The Haunted Mansion,8
2004,Cheaper by the Dozen,7
2004,School of Rock,6
2004,Scary Movie 3,5
2004,Scary Movie 3,4
2004,The Lord of the Rings: The Return of the King,3
2004,The Lord of the Rings: The Return of the King,2
2004,The Lord of the Rings: The Return of the King,1
